packet_index;timestamp;length;direction;num_cells;ack
0;1527570914.482895;66;1;0.000000;1
1;1527570914.486820;202;1;0.000000;0
5;1527570917.212189;74;1;0.000000;0
6;1527570917.452272;74;-1;0.000000;1
7;1527570917.452529;66;1;0.000000;1
8;1527570917.453004;269;1;0.000000;0
11;1527570918.423193;1070;-1;1.000000;0
12;1527570918.423523;66;1;0.000000;1
13;1527570918.424890;192;1;0.000000;0
14;1527570918.664987;117;-1;0.000000;0
15;1527570918.665488;106;1;0.000000;0
16;1527570918.906741;2125;-1;4.000000;0
17;1527570918.906971;66;1;0.000000;1
18;1527570918.908257;1637;1;3.000000;0
19;1527570919.148110;66;-1;0.000000;1
20;1527570919.154992;1123;-1;2.000000;0
21;1527570919.156347;1123;1;2.000000;0
22;1527570919.435931;66;-1;0.000000;1
23;1527570919.436220;609;1;1.000000;0
24;1527570919.503004;1123;-1;2.000000;0
25;1527570919.543144;66;1;0.000000;1
27;1527570919.675634;66;-1;0.000000;1
28;1527570919.675928;1123;1;2.000000;0
30;1527570919.782560;609;-1;1.000000;0
31;1527570919.782834;66;1;0.000000;1
32;1527570919.915370;66;-1;0.000000;1
33;1527570919.915676;609;1;1.000000;0
34;1527570920.044823;609;-1;1.000000;0
35;1527570920.045097;66;1;0.000000;1
36;1527570920.155105;66;-1;0.000000;1
37;1527570920.213681;609;1;1.000000;0
38;1527570920.284635;1152;-1;2.000000;0
39;1527570920.284855;66;1;0.000000;1
40;1527570920.453087;66;-1;0.000000;1
41;1527570920.453351;609;1;1.000000;0
42;1527570920.524377;609;-1;1.000000;0
43;1527570920.524654;66;1;0.000000;1
45;1527570920.692868;66;-1;0.000000;1
46;1527570920.693152;609;1;1.000000;0
47;1527570920.885791;609;-1;1.000000;0
48;1527570920.886078;66;1;0.000000;1
49;1527570920.932507;66;-1;0.000000;1
50;1527570921.125421;609;-1;1.000000;0
52;1527570921.126112;609;1;1.000000;0
53;1527570921.241912;1454;1;2.000000;0
54;1527570921.365454;66;-1;0.000000;1
55;1527570921.365716;307;1;0.000000;0
57;1527570921.489056;609;-1;1.000000;0
58;1527570921.529199;66;1;0.000000;1
59;1527570921.645968;66;-1;0.000000;1
60;1527570921.646241;609;1;1.000000;0
62;1527570921.756446;4230;-1;8.000000;0
63;1527570921.756777;66;1;0.000000;1
64;1527570921.774476;1454;-1;2.000000;0
65;1527570921.774500;284;-1;0.000000;0
68;1527570921.799853;1454;1;2.000000;0
69;1527570921.885732;66;-1;0.000000;1
70;1527570921.886045;850;1;1.000000;0
72;1527570922.014283;609;-1;1.000000;0
73;1527570922.039246;66;-1;0.000000;1
74;1527570922.054246;66;1;0.000000;1
76;1527570922.125738;609;1;1.000000;0
77;1527570922.293700;609;-1;1.000000;0
78;1527570922.294015;66;1;0.000000;1
79;1527570922.303625;1454;-1;2.000000;0
81;1527570922.314503;2842;-1;5.000000;0
83;1527570922.354838;1454;-1;2.000000;0
85;1527570922.365089;66;-1;0.000000;1
86;1527570922.365413;1152;1;2.000000;0
87;1527570922.533389;798;-1;1.000000;0
88;1527570922.573215;66;1;0.000000;1
89;1527570922.604798;66;-1;0.000000;1
90;1527570922.605072;1152;1;2.000000;0
91;1527570922.812584;609;-1;1.000000;0
92;1527570922.812920;66;1;0.000000;1
93;1527570922.844463;66;-1;0.000000;1
94;1527570922.844750;609;1;1.000000;0
95;1527570923.027513;1454;-1;2.000000;0
96;1527570923.052279;792;-1;1.000000;0
97;1527570923.052534;66;1;0.000000;1
98;1527570923.084245;66;-1;0.000000;1
99;1527570923.084522;609;1;1.000000;0
100;1527570923.292034;609;-1;1.000000;0
101;1527570923.323847;66;-1;0.000000;1
102;1527570923.324201;1152;1;2.000000;0
103;1527570923.563629;609;-1;1.000000;0
104;1527570923.588565;609;1;1.000000;0
106;1527570923.828031;1152;-1;2.000000;0
107;1527570923.828344;609;1;1.000000;0
108;1527570924.067745;609;-1;1.000000;0
109;1527570924.068048;609;1;1.000000;0
110;1527570924.242098;2842;-1;5.000000;0
111;1527570924.242439;66;1;0.000000;1
112;1527570924.307465;917;-1;1.000000;0
113;1527570924.311403;609;1;1.000000;0
114;1527570924.550979;609;-1;1.000000;0
115;1527570924.551234;609;1;1.000000;0
116;1527570924.790629;609;-1;1.000000;0
117;1527570924.790972;609;1;1.000000;0
118;1527570924.987050;4230;-1;8.000000;0
119;1527570924.987364;66;1;0.000000;1
120;1527570924.996012;2842;-1;5.000000;0
122;1527570925.014037;1454;-1;2.000000;0
123;1527570925.014076;2842;-1;5.000000;0
125;1527570925.032098;900;-1;1.000000;0
127;1527570925.076109;1454;-1;2.000000;0
129;1527570925.111951;1123;1;2.000000;0
130;1527570925.211925;1454;1;2.000000;0
131;1527570925.220090;4230;-1;8.000000;0
132;1527570925.220413;66;1;0.000000;1
133;1527570925.239964;2842;-1;5.000000;0
135;1527570925.248973;2842;-1;5.000000;0
137;1527570925.267024;2842;-1;5.000000;0
139;1527570925.285082;4230;-1;8.000000;0
141;1527570925.303147;2842;-1;5.000000;0
143;1527570925.321177;2842;-1;5.000000;0
145;1527570925.339313;2842;-1;5.000000;0
147;1527570925.340101;1454;1;2.000000;0
148;1527570925.357281;2842;-1;5.000000;0
149;1527570925.357507;66;1;0.000000;1
150;1527570925.375348;2842;-1;5.000000;0
152;1527570925.393292;66;-1;0.000000;1
153;1527570925.393534;519;1;0.000000;0
155;1527570925.459842;5618;-1;10.000000;0
156;1527570925.460216;66;1;0.000000;1
157;1527570925.468882;2842;-1;5.000000;0
159;1527570925.486924;2842;-1;5.000000;0
161;1527570925.504985;2842;-1;5.000000;0
163;1527570925.520311;2842;-1;5.000000;0
165;1527570925.535667;2842;-1;5.000000;0
167;1527570925.551016;2842;-1;5.000000;0
169;1527570925.564164;2842;-1;5.000000;0
171;1527570925.576795;2842;-1;5.000000;0
173;1527570925.589005;2842;-1;5.000000;0
175;1527570925.589823;1454;1;2.000000;0
176;1527570925.600881;2842;-1;5.000000;0
177;1527570925.601172;66;1;0.000000;1
178;1527570925.611112;2842;-1;5.000000;0
180;1527570925.621345;2842;-1;5.000000;0
182;1527570925.631301;2842;-1;5.000000;0
184;1527570925.641974;2842;-1;5.000000;0
186;1527570925.651124;2842;-1;5.000000;0
188;1527570925.661021;2842;-1;5.000000;0
189;1527570925.661248;307;1;0.000000;0
190;1527570925.670936;2842;-1;5.000000;0
191;1527570925.671100;66;1;0.000000;1
192;1527570925.680834;2842;-1;5.000000;0
194;1527570925.690759;2842;-1;5.000000;0
196;1527570925.700654;2842;-1;5.000000;0
198;1527570925.708264;2842;-1;5.000000;0
200;1527570925.715868;2842;-1;5.000000;0
202;1527570925.723117;2842;-1;5.000000;0
204;1527570925.730496;2842;-1;5.000000;0
205;1527570925.730525;2842;-1;5.000000;0
208;1527570925.737539;2842;-1;5.000000;0
210;1527570925.745568;2842;-1;5.000000;0
212;1527570925.752117;2842;-1;5.000000;0
215;1527570925.759151;2842;-1;5.000000;0
217;1527570925.759510;1454;1;2.000000;0
218;1527570925.766335;2842;-1;5.000000;0
219;1527570925.766585;66;1;0.000000;1
220;1527570925.773483;2842;-1;5.000000;0
222;1527570925.780674;2842;-1;5.000000;0
224;1527570925.787876;2842;-1;5.000000;0
226;1527570925.795215;2842;-1;5.000000;0
